bucket_id,level,assigned_samples,used_local_decision,fallback_to_parent,fallback_from_children,parent_id,is_weak,effective_bucket_id
L1_number_inpatient=many_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=others,3,85,0,85,0,L1_number_inpatient=many_prev_inpt|L2_number_emergency=no_prev_er,True,L1_number_inpatient=many_prev_inpt
L1_number_inpatient=many_prev_inpt|L2_number_emergency=one_prev_er,2,313,313,0,0,L1_number_inpatient=many_prev_inpt,False,L1_number_inpatient=many_prev_inpt|L2_number_emergency=one_prev_er
L1_number_inpatient=no_prev_inpt|L2_number_emergency=multi_prev_er|L3_discharge_disposition_id=Home,3,450,0,450,0,L1_number_inpatient=no_prev_inpt|L2_number_emergency=multi_prev_er,True,ROOT
L1_number_inpatient=no_prev_inpt|L2_number_emergency=multi_prev_er|L3_discharge_disposition_id=others,3,208,0,208,0,L1_number_inpatient=no_prev_inpt|L2_number_emergency=multi_prev_er,True,ROOT
L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Expired,3,1282,0,1282,0,L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er,True,ROOT
L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Home,3,51675,51675,0,0,L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er,False,L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Home
L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=OtherDisp,3,6863,6863,0,0,L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er,False,L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=OtherDisp
L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=SNF_Rehab,3,548,548,0,0,L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er,False,L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=SNF_Rehab
L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Transfer,3,24868,0,24868,0,L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er,True,ROOT
L1_number_inpatient=no_prev_inpt|L2_number_emergency=one_prev_er|L3_discharge_disposition_id=Home,3,707,0,707,0,L1_number_inpatient=no_prev_inpt|L2_number_emergency=one_prev_er,True,ROOT
L1_number_inpatient=no_prev_inpt|L2_number_emergency=one_prev_er|L3_discharge_disposition_id=Transfer,3,454,0,454,0,L1_number_inpatient=no_prev_inpt|L2_number_emergency=one_prev_er,True,ROOT
L1_number_inpatient=no_prev_inpt|L2_number_emergency=one_prev_er|L3_discharge_disposition_id=others,3,96,0,96,0,L1_number_inpatient=no_prev_inpt|L2_number_emergency=one_prev_er,True,ROOT
